Sample 	Total_tree_length_of_primary_tumor(b)	Tree_length_of_primary_tumor_before_lymph_node_metastasis(a)	Timing_of_metatasis(ToM)	Tree_length_of_primary_tumor_after_lymph_node_metastasis(d)	Tree_length_of_lymph_node_branch_after_metastsis(c)	Mutation_accumulation_rate_after_metastasis(MARM)
P1_N_104R	5.20	4.88	0.9385 	0.32 	4.33 	13.5156 
P1_N_106recR	5.20	4.88	0.9385 	0.32 	4.63 	14.4531 
P2_N_104R	5.20	3.80	0.7308 	1.40 	0.70 	0.5000 
P3_N_106tbL	5.25	3.33	0.6343 	1.92 	3.58 	1.8620 
P3_N_107	5.25	3.78	0.7200 	1.47 	1.38 	0.9354 
P4_N_106recL	6.10	1.45	0.2377 	4.65 	0.85 	0.1828 
P4_N_112aoA	6.10	3.50	0.5738 	2.60 	2.95 	1.1346 
P4_N_7	6.10	1.85	0.3033 	4.25 	2.60 	0.6118 
P5_N_104R	7.55	5.98	0.7921 	1.57 	3.03 	1.9299 
P5_N_106recL	7.55	3.80	0.5033 	3.75 	2.43 	0.9467 
P5_N_106recR	7.55	5.98	0.7921 	1.57 	2.68 	1.7675 
P6_N_1	9.10	5.30	0.5824 	3.80 	5.25 	1.3816 
P6_N_106recL	9.10	3.58	0.3934 	5.52 	2.58 	0.4665 
P6_N_107	9.10	2.83	0.3110 	6.27 	2.93 	0.4665 
P7_N_1	9.80	5.70	0.5816 	4.10 	1.80 	0.4390 
P7_N_106recL	9.80	3.28	0.3347 	6.52 	2.53 	0.3873 
P7_N_110	9.80	6.13	0.6255 	3.67 	1.83 	0.4973 
P8_N_106recR	11.6	3.98	0.3431 	7.62 	13.28 	1.7421 
P8_N_108	11.6	2.23	0.1922 	9.37 	4.08 	0.4349 
P9_N_105	13.2	10.3	0.7803 	2.90 	2.93 	1.0192 
P9_N_106recR	13.2	9.63	0.7295 	3.57 	3.08 	0.8613 
P9_N_7	13.2	10.8	0.8182 	2.40 	3.75 	1.5957 
P10_N_1	13.6	8.53	0.6272 	5.07 	4.93 	0.9714 
P10_N_106tbL	13.6	11.8	0.8676 	1.80 	3.65 	2.0278 
P10_N_3a	13.6	2.23	0.1640 	11.37 	4.18 	0.3672 
